9 of 10 units, , , ,V4e121_00, ,V4e122_00, ,V4e122_01, ,V4e123_00, ,V4e123_01, ,MTe080_00, ,MTe080_01, ,MTe081_00, ,MTe081_02, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
78,C,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,30.277000427246094,71.16600036621094,26.996999740600586,88.98600006103516,55.707000732421875,16.57200050354004,NaN,NaN,83.73200225830078,46.00899887084961,NaN,NaN
79,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,C,6.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,6.275000095367432,59.41699981689453,2.3949999809265137,86.9800033569336,0.0,2.484999895095825,NaN,NaN,2.2950000762939453,13.293000221252441,NaN,NaN
81,M,7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07000000029802322,22.788999557495117,38.16699981689453,46.308998107910156,NaN,NaN,68.3550033569336,95.65699768066406,NaN,NaN
82,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,C,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,3.9179999828338623,30.490999221801758,1.6679999828338623,59.983001708984375,0.003000000026077032,50.595001220703125,NaN,NaN,0.004000000189989805,62.435001373291016,0.0010000000474974513,24.489999771118164
86,M,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,12.335000038146973,0.0,17.882999420166016,0.0,1.0219999551773071,52.845001220703125,0.0020000000949949026,19.256000518798828,4.876999855041504,78.94000244140625,0.0020000000949949026,30.979999542236328
87,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,C,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,13.420000076293945,46.07699966430664,10.685999870300293,93.4739990234375,2.244999885559082,0.33399999141693115,NaN,NaN,13.73900032043457,8.562000274658203,NaN,NaN
89,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,C,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0640000104904175,79.69999694824219,4.955999851226807,107.52400207519531,14.854000091552734,57.6870002746582,NaN,NaN,56.11000061035156,74.07499694824219,6.735000133514404,28.476999282836914
94,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,C,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,8.600000381469727,76.53199768066406,4.553999900817871,99.69999694824219,41.7400016784668,22.13599967956543,NaN,NaN,45.86199951171875,67.48400115966797,0.0020000000949949026,31.17799949645996
99,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
