26 of 43 units, , , ,V4e106_00, ,V4e106_05, ,V4e106_06, ,V4e107_00, ,V4e108_00, ,V4e109_00, ,V4e109_01, ,V4e110_00, ,V4e110_03, ,V4e111_00, ,V4e111_01, ,V4e118_00, ,V4e118_01, ,V4e119_00, ,V4e120_00, ,V4e120_01, ,V4e120_02, ,V4e120_04, ,V4e121_00, ,V4e122_00, ,V4e122_03, ,V4e123_00, ,MTe099_00, ,MTe101_00, ,MTe104_00, ,MTe105_00, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
31,M,4.0,3.0,72.71700286865234,66.79499816894531,NaN,NaN,NaN,NaN,15.41100025177002,14.678000450134277,16.225000381469727,14.994999885559082,43.20500183105469,27.29400062561035,4.889999866485596,34.39899826049805,97.09500122070312,107.53700256347656,6.76800012588501,13.175999641418457,18.85300064086914,15.104999542236328,NaN,NaN,NaN,NaN,NaN,NaN,24.915000915527344,35.314998626708984,16.472999572753906,13.116000175476074,2.8450000286102295,14.12399959564209,14.550999641418457,35.81999969482422,NaN,NaN,NaN,NaN,30.976999282836914,44.334999084472656,12.619000434875488,15.118000030517578,4.98199987411499,6.120999813079834,NaN,NaN,NaN,NaN,NaN,NaN,10.456999778747559,21.378000259399414
32,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,C,4.0,4.0,48.349998474121094,48.67900085449219,NaN,NaN,NaN,NaN,18.63599967956543,16.875,14.282999992370605,7.25,40.52199935913086,46.926998138427734,6.854000091552734,42.80400085449219,118.74099731445312,85.84300231933594,9.857000350952148,19.351999282836914,20.45800018310547,24.92099952697754,NaN,NaN,NaN,NaN,NaN,NaN,29.638999938964844,37.875999450683594,23.91200065612793,27.07699966430664,NaN,NaN,14.515000343322754,12.043999671936035,NaN,NaN,NaN,NaN,36.90700149536133,19.115999221801758,12.373000144958496,6.646999835968018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.680999755859375,33.39799880981445
34,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,M,6.0,1.0,100.0739974975586,165.93499755859375,NaN,NaN,NaN,NaN,15.711000442504883,21.207000732421875,14.378000259399414,25.639999389648438,46.68600082397461,62.97100067138672,30.033000946044922,18.954999923706055,127.75900268554688,104.38800048828125,12.95300006866455,11.718000411987305,23.200000762939453,53.909000396728516,NaN,NaN,NaN,NaN,NaN,NaN,32.08399963378906,45.165000915527344,31.6560001373291,24.68199920654297,9.480999946594238,4.245999813079834,16.6200008392334,40.45600128173828,NaN,NaN,7.534999847412109,3.9049999713897705,56.29399871826172,57.77799987792969,21.46500015258789,15.763999938964844,6.873000144958496,10.970999717712402,NaN,NaN,NaN,NaN,NaN,NaN,20.158000946044922,39.347999572753906
37,C,2.0,1.0,76.63600158691406,118.05899810791016,NaN,NaN,NaN,NaN,7.73799991607666,13.059000015258789,22.69499969482422,7.692999839782715,35.395999908447266,62.32400131225586,16.575000762939453,23.416000366210938,108.0999984741211,86.68599700927734,6.677000045776367,0.06700000166893005,26.69300079345703,38.821998596191406,NaN,NaN,NaN,NaN,NaN,NaN,1.6440000534057617,47.22600173950195,24.389999389648438,17.81999969482422,9.343000411987305,13.137999534606934,9.03600025177002,26.07900047302246,NaN,NaN,NaN,NaN,20.85700035095215,44.49399948120117,17.517000198364258,12.656999588012695,12.574999809265137,6.120999813079834,NaN,NaN,NaN,NaN,NaN,NaN,18.756000518798828,16.825000762939453
38,C,1.0,1.0,102.83499908447266,120.87100219726562,NaN,NaN,NaN,NaN,31.854000091552734,24.145999908447266,20.128999710083008,11.097999572753906,38.94499969482422,47.25600051879883,6.386000156402588,27.702999114990234,151.0679931640625,87.20500183105469,26.416000366210938,1.350000023841858,23.277999877929688,63.762001037597656,NaN,NaN,4.4679999351501465,12.527000427246094,NaN,NaN,34.04199981689453,42.97200012207031,20.694000244140625,28.371999740600586,NaN,NaN,0.22699999809265137,41.409000396728516,NaN,NaN,NaN,NaN,34.207000732421875,20.361000061035156,15.845000267028809,5.331999778747559,12.229999542236328,11.807999610900879,NaN,NaN,NaN,NaN,NaN,NaN,21.343000411987305,19.43400001525879
39,M,7.0,1.0,113.10299682617188,48.64799880981445,28.652000427246094,0.0010000000474974513,NaN,NaN,23.825000762939453,7.145999908447266,15.001999855041504,14.451000213623047,68.10199737548828,33.73500061035156,2.4070000648498535,43.61800003051758,83.23999786376953,77.21600341796875,2.2939999103546143,3.802000045776367,39.09299850463867,29.29599952697754,NaN,NaN,NaN,NaN,NaN,NaN,28.475000381469727,43.8390007019043,14.907999992370605,22.375,8.447999954223633,8.059000015258789,25.367000579833984,3.999000072479248,NaN,NaN,NaN,NaN,27.354000091552734,19.336000442504883,14.616999626159668,11.22599983215332,14.045000076293945,9.755999565124512,NaN,NaN,NaN,NaN,NaN,NaN,14.91100025177002,26.003000259399414
40,M,6.0,1.0,94.73300170898438,187.65899658203125,24.249000549316406,23.459999084472656,NaN,NaN,19.660999298095703,29.275999069213867,12.279000282287598,25.891000747680664,57.81700134277344,70.71399688720703,5.183000087738037,33.375999450683594,99.04100036621094,141.37600708007812,0.8930000066757202,0.0,34.01499938964844,39.20399856567383,NaN,NaN,NaN,NaN,NaN,NaN,38.097999572753906,41.10300064086914,17.097999572753906,19.110000610351562,10.270999908447266,6.5920000076293945,22.92099952697754,17.767000198364258,NaN,NaN,NaN,NaN,30.054000854492188,41.52399826049805,14.01099967956543,10.512999534606934,14.824000358581543,4.0329999923706055,NaN,NaN,NaN,NaN,NaN,NaN,14.392999649047852,14.817999839782715
